15,1,27015,1
1,5,65843,1
2,3,75122,1
4,6,119001,1
6,1,130414,1
3,11,113847,1
7,1,135521,1
8,8,125267,1
11,8,145190,1
13,1,158710,1
12,7,152359,1
5,11,163928,1
17,1,87897,1
14,5,197676,1
10,11,195073,1
18,9,106201,1
16,5,134104,1
20,7,115514,1
9,10,241390,1
22,8,137312,1
24,3,171576,1
19,11,157875,1
21,4,185588,1
26,9,173407,1
27,9,176536,1
28,1,197483,1
23,11,201111,1
30,2,224048,1
29,4,250531,1
34,7,161337,1
25,10,257863,1
31,12,159908,1
35,3,186422,1
32,4,186451,1
38,9,192643,1
33,4,210388,1
40,3,224204,1
39,9,209211,1
36,4,233378,1
37,11,221151,1
43,8,231783,1
42,6,249631,1
44,7,237275,1
45,7,246222,1
41,11,261025,1
平均,,174098.4667,
中位,,176536,
最小值,,27015,
最大值,,261025,
下四分位,,135521,
上四分位,,221151,
